recall_number,recall_date,make,model,year_range,affected_units,reason,link
REC-000074,12-May-20,BENTLEY,BENTAYGA,2017 - 2020,67,"The seat belt anchorage on the third row may not withstand the legal load requirements, causing the seat belt to detach from the pillar. The seat belt anchorage on the third row may not withstand the legal load requirements, causing the seat belt to detach from the pillar. What are the hazards? If the anchorage fails to work during an accident, the occupants wearing the seat belts may not be properly restrained. This could result in serious injury or death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-000074
REC-000075,5-Jul-20,BENTLEY,BENTAYGA,2018 - 2019,105,"Due to the weakness of a component in the 'quick connector' on the fuel supply line, fuel may leak at very high engine compartment temperatures. Due to the weakness of a component in the 'quick connector' on the fuel supply line, fuel may leak at very high engine compartment temperatures. What are the hazards? Fuel leakage in the presence of an ignition source may cause a fire. If this was to occur there is a risk of serious injury to vehicle occupants, other road users and property.",https://www.vehiclerecalls.gov.au/recalls/rec-000075
REC-000076,13-Jan-21,BENTLEY,CONTINENTAL GT,2019 - 2020,37,"The convertible roof can be activated using the key fob at distances greater than six metres. The convertible roof can be activated using the key fob at distances greater than six metres. What are the hazards? At distances greater than six metres, the person opening/closing the roof may have a restricted view of the vehicle and its occupants, increasing the risk of an injury to vehicle occupants or bystanders.",https://www.vehiclerecalls.gov.au/recalls/rec-000076
REC-000128,14-Jul-20,BMW,"X3 M, X4 M, Z4",2018 - 2019,"1,269","The steering track rods may be damaged when exposed to high temperatures and vibrational loads. If the steering track rods are damaged or break, the vehicle will have limited steering ability and may not steer as expected. The steering track rods may be damaged when exposed to high temperatures and vibrational loads. If the steering track rods are damaged or break, the vehicle will have limited steering ability and may not steer as expected. What are the hazards? Limited steering ability increases the risk of an accident with injury or death of the vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000128
REC-000130,7-Nov-19,BMW,E46 3 Series,1997 - 2000,"12,663","Affected vehicles may be fitted with a Takata NADI 5-AT driver airbag inflator that could allow moisture to enter the unit and degrade the airbag propellant. If this occurs, the properties of the propellant may be changed so that the propellant does not react as intended during a collision, causing mis-deployment of the airbag. Additionally some vehicles previously checked under campaign number 0032950200 will need to be inspected again to have the previously checked inflator replaced with a new inflator under campaign number 0032200300. Affected vehicles may be fitted with a Takata NADI 5-AT driver airbag inflator that could allow moisture to enter the unit and degrade the airbag propellant. If this occurs, the properties of the propellant may be changed so that the propellant does not react as intended during a collision, causing mis-deployment of the airbag. Additionally some vehicles previously checked under campaign number 0032950200 will need to be inspected again to have the previously checked inflator replaced with a new inflator under campaign number 0032200300.",https://www.vehiclerecalls.gov.au/recalls/rec-000130
REC-000132,10-Jun-21,BMW,"M8, X5, X6, X7, 7 SERIES, 8 SERIES, M3, M4",2019 - 2020,49,"Due to a manufacturing fault in the hydraulic unit brake booster, panic braking could cause loss of brake power assistance and the Anti-lock Braking System (ABS) without prior warning. Although the electronic brake force distribution function is maintained, the loss of the Anti-lock Braking System (ABS) may result in reduced braking performance. Due to a manufacturing fault in the hydraulic unit brake booster, panic braking could cause loss of brake power assistance and the Anti-lock Braking System (ABS) without prior warning. Although the electronic brake force distribution function is maintained, the loss of the Anti-lock Braking System (ABS) may result in reduced braking performance.",https://www.vehiclerecalls.gov.au/recalls/rec-000132
REC-000142,31-Mar-20,BMW,M6,2012 - 2018,74,"The centre high mounted stop lamp may not be adequately attached to the vehicle and may loosen or detach. The centre high mounted stop lamp may not be adequately attached to the vehicle and may loosen or detach. What are the hazards? If the centre stop lamp loosens or detaches from the vehicle whilst being driven, this may cause an accident or injury to other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000142
REC-000160,26-Jul-18,Chevrolet,SILVERADO,,58,"The seatbelt buckles for the rear right and rear centre seating positions may have been torqued incorrectly. The seatbelt buckles for the rear right and rear centre seating positions may have been torqued incorrectly. What are the hazards? The seatbelt may not operate as designed in the event of a crash, posing an increased risk of injury to passengers in the rear right or rear centre seats.",https://www.vehiclerecalls.gov.au/recalls/rec-000160
REC-000163,31-Jul-14,CHRYSLER,FIAT,,"4,703","Due to a potential interference of the wiring under the dashboard with the steering column, the wiring might wear out in time. Due to a potential interference of the wiring under the dashboard with the steering column, the wiring might wear out in time. What are the hazards? This could affect how the vehicle drives and may pose an accident risk to the driver and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000163
REC-000202,28-Mar-18,CHRYSLER,JEEP GRAND CHEROKEE,2017 - 2018,"74,276","The WK Jeep Grand Cherokee tow bar kit has bolts and washers that may lose torque during towing. The WK Jeep Grand Cherokee tow bar kit has bolts and washers that may lose torque during towing. What are the hazards? If the bolts and washers on the tow bar lose torque during towing, the tow bar may become loose and/or detach from the vehicle, potentially posing a risk of serious accident to the vehicle occupants or other road users that can lead to severe injury or death.",https://www.vehiclerecalls.gov.au/recalls/rec-000202
REC-000212,26-Feb-20,CITROEN,DISPATCH,2018 - 2019,20,"As a result of excessive movement and vibration, the fuel pipes under the vehicle may become damaged, resulting in a diesel fuel leak. As a result of excessive movement and vibration, the fuel pipes under the vehicle may become damaged, resulting in a diesel fuel leak. What are the hazards? If the damaged pipes cause diesel fuel to leak onto the road surface, this could increase the risk of an accident and/or injury to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000212
REC-000213,1-Apr-21,CITROEN,"C4 (B7), C4 CACTUS",2015 - 2017,171,"The braking system’s power assistance may be lost or reduced. This is due to a reduction of available vacuum in the system due to degradation of the timing belt if affected by aged engine oil. The braking system’s power assistance may be lost or reduced. This is due to a reduction of available vacuum in the system due to degradation of the timing belt if affected by aged engine oil. What are the hazards? While the brakes will still be operable, if power assistance is reduced or lost, there is an increased risk of a collision, which could result in injury or death of vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000213
REC-000234,11-Oct-20,DODGE,"DODGE NITRO, CHRYSLER GRAND VOYAGER",2006 - 2014,"5,464","Affected vehicles may have a loose or detached driver airbag emblem, and/or loose emblem retainers within the driver airbag module assembly. Affected vehicles may have a loose or detached driver airbag emblem, and/or loose emblem retainers within the driver airbag module assembly. What are the hazards? In the event of airbag deployment, a loose or detached emblem may become a projectile and propel towards the vehicle occupants causing serious injury.",https://www.vehiclerecalls.gov.au/recalls/rec-000234
REC-000286,7-Feb-18,FIAT,DUCATO,,"1,394","The intercooler sleeve may detach from the throttle body, causing an engine warning light to be illuminated and a loss of power to the vehicle. The intercooler sleeve may detach from the throttle body, causing an engine warning light to be illuminated and a loss of power to the vehicle. What are the hazards? If the vehicle unexpectedly suffers a loss of power, it could increase the risk of an accident and injury to a vehicle occupant or other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-000286
REC-000291,21-Jan-21,FIAT,DUCATO,2019 - 2020,394,"The vehicle may have been fitted with incorrect steering knuckles during the production process and may not perform as intended. The vehicle may have been fitted with incorrect steering knuckles during the production process and may not perform as intended. What are the hazards? This may result in clunking noises from the suspension, excessive vibration, shaking steering wheel, uneven tyre wear, vehicle pulling to one side instead of going straight. This could increase the risk of an accident, causing death or injury to the vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000291
REC-000318,27-Sep-20,Ford,FOCUS,2018 - 2019,"2,787",The transmission stud may chafe on the engine wiring loom. The engine warning light may also illuminate. The transmission stud may chafe on the engine wiring loom. The engine warning light may also illuminate. What are the hazards? Damage to the wiring loom may lead to reduced engine power and engine stall. This can increase the risk of injury and death of vehicle occupants and other road users in an accident.,https://www.vehiclerecalls.gov.au/recalls/rec-000318
REC-000319,23-Dec-19,Ford,COURIER,1998 - 1999,138,"Affected vehicles may be fitted with a Takata NADI 5AT driver airbag inflator that could allow moisture to enter the unit and degrade the airbag propellant. If this occurs, the properties of the propellant may be changed so that the propellant does not react as intended during a collision, causing misdeployment of the airbag. Affected vehicles may be fitted with a Takata NADI 5AT driver airbag inflator that could allow moisture to enter the unit and degrade the airbag propellant. If this occurs, the properties of the propellant may be changed so that the propellant does not react as intended during a collision, causing misdeployment of the airbag.",https://www.vehiclerecalls.gov.au/recalls/rec-000319
REC-000320,3-Jun-20,Ford,"RANGER, EVEREST",2017 - 2019,"25,573","The transmission fluid pump gears could fail while driving. The transmission fluid pump gears could fail while driving. What are the hazards? Transmission fluid pump gear failure can cause a loss of hydraulic fluid pressure in the transmission, which can result in a loss of motive power. This could increase the risk of an accident and injury to a vehicle occupant or other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-000320
REC-000321,24-Sep-20,Ford,TRANSIT,2016 - 2019,"3,122","The electronic Run-on Water Pump (ROWP) fitted to certain Transit and Transit Custom vehicles aids cooling after the engine has been stopped. Vehicles have been built with a 15A fuse to protect the ROWP in case of failure. If the ROWP fails, the 15A fuse will not prevent the ROWP from overheating. The electronic Run-on Water Pump (ROWP) fitted to certain Transit and Transit Custom vehicles aids cooling after the engine has been stopped. Vehicles have been built with a 15A fuse to protect the ROWP in case of failure. If the ROWP fails, the 15A fuse will not prevent the ROWP from overheating. What are the hazards? If the ROWP overheats, it could cause localised melting of the pump body and wiring. In extreme cases this could lead to smoke and possibly an engine compartment fire.",https://www.vehiclerecalls.gov.au/recalls/rec-000321
REC-000322,14-Oct-20,Ford,"TRANSIT, TRANSIT CUSTOM",2019 - 2020,344,"Vehicles may be fitted with front lower control arms that contain incomplete welds, which may lead to fracture of the component. Vehicles may be fitted with front lower control arms that contain incomplete welds, which may lead to fracture of the component. What are the hazards? A fractured lower control arm joint may separate, resulting in loss of vehicle control, increasing the risk of an accident and injury or death to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000322
REC-000323,3-Dec-20,Ford,"TRANSIT, TRANSIT CUSTOM",2020,180,"The vehicles may be fitted with front lower control arms that contain incomplete welds, which may lead to fracture of the component. The vehicles may be fitted with front lower control arms that contain incomplete welds, which may lead to fracture of the component. What are the hazards? A fractured lower control arm could result in front lower control arm joint separation, resulting in loss of vehicle control, increasing the risk of an accident that could result in injury or death of vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000323
REC-000324,28-Mar-21,Ford,TRANSIT,2020,31,"Due to a manufacturing fault, the vehicle's rear driveshaft bearing support bracket may hold the driveshaft at the incorrect angle, causing excessive wear to the driveshaft over time. Due to a manufacturing fault, the vehicle's rear driveshaft bearing support bracket may hold the driveshaft at the incorrect angle, causing excessive wear to the driveshaft over time. What are the hazards? If the driveshaft suffers excessive wear, for example in vehicles with high mileage, it could detach and hit the road or dig into the road surface. This could cause the vehicle to be lifted or tipped over, increasing the risk of an accident causing injury or death to vehicle occupants and/or other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000324
REC-000325,16-May-21,Ford,FOCUS,2018 - 2019,342,The transmission stud may chafe on the engine wiring loom. The engine warning light may also illuminate. The transmission stud may chafe on the engine wiring loom. The engine warning light may also illuminate. What are the hazards? Damage to the wiring loom may lead to reduced engine power and engine stall. This can increase the risk of injury and death of vehicle occupants and other road users in an accident.,https://www.vehiclerecalls.gov.au/recalls/rec-000325
REC-000326,4-Feb-20,Ford,F-250 and F-350,2015 - 2017,148,"The vehicle's tie rod end may prematurely fail due to dry steering. The vehicle's tie rod end may prematurely fail due to dry steering. What are the hazards? If the tie rod prematurely fails due to wear, it may become loose or the tie rod may break upon dry steering, increasing the risk of an accident or injury to vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000326
REC-000534,6-Mar-18,Holden,CAPTIVA,2006 - 2010,"22,709",A fracture on the fuel feed hose connector may cause the fuel feed hose to disconnect and leak fuel. A fracture on the fuel feed hose connector may cause the fuel feed hose to disconnect and leak fuel. What are the hazards? A fuel leak could result in an engine stall or an engine bay fire. This could increase the risk of an accident and injury to a vehicle occupant or other road users. In the event of a serious accident this may result in death.,https://www.vehiclerecalls.gov.au/recalls/rec-000534
REC-000536,16-Jan-20,Holden,COMMODORE,2018 - 2020,366,"A clip on the fuel hose bundle may rub on the fuel pump return hose, which could cause a fuel leak. A clip on the fuel hose bundle may rub on the fuel pump return hose, which could cause a fuel leak. What are the hazards? If a fuel leak occurs there is a potential risk of fire, as diesel fuel could fall onto the exhaust. If this happened it would pose a risk of injury to vehicle occupants, bystanders and/or damage property.",https://www.vehiclerecalls.gov.au/recalls/rec-000536
REC-000585,14-Jul-20,Honda,"CIVIC, CITY, JAZZ, CRV, HRV, ACCORD",2018 - 2021,"54,300","Due to an improper manufacturing process, a component within the fuel pump could swell causing the fuel pump to become inoperative. Due to an improper manufacturing process, a component within the fuel pump could swell causing the fuel pump to become inoperative. What are the hazards? If the fuel pump stops working, this could stop the engine from starting or stall the engine while driving. This may increase the risk of an accident and may result in serious injury to vehicle occupants and/or other road users. Warning: the ACCC considers that the hazard posed to consumers from this safety defect includes the risk of an accident resulting in serious injury or death.",https://www.vehiclerecalls.gov.au/recalls/rec-000585
REC-000587,20-Jan-20,Honda,"ACCORD, CR-V, LEGEND, ODYSSEY, CIVIC, INTEGRA",1997 - 2000,"38,474","Affected vehicles may be fitted with a Takata NADI 5-AT driver airbag inflator that could allow moisture to enter the unit and degrade the airbag propellant. If this occurs, the properties of the propellant may be changed so that the propellant does not react as intended during a collision, causing mis-deployment of the airbag. Affected vehicles may be fitted with a Takata NADI 5-AT driver airbag inflator that could allow moisture to enter the unit and degrade the airbag propellant. If this occurs, the properties of the propellant may be changed so that the propellant does not react as intended during a collision, causing mis-deployment of the airbag.",https://www.vehiclerecalls.gov.au/recalls/rec-000587
REC-000589,8-Jun-21,Honda,ACCORD HYBRID,2019,89,"In cold ambient temperatures, the DC-DC converter may shut down and prevent the 12-volt battery from recharging, resulting in a loss of drive power if the vehicle continues to be driven. Warning lights in the instrument cluster will illuminate and a warning message will also appear. In cold ambient temperatures, the DC-DC converter may shut down and prevent the 12-volt battery from recharging, resulting in a loss of drive power if the vehicle continues to be driven. Warning lights in the instrument cluster will illuminate and a warning message will also appear. What are the hazards? Loss of power could result in the vehicle slowing or stopping, increasing the risk of an accident. Warning: the ACCC considers that the hazard posed to consumers from this safety defect includes the risk of an accident resulting in serious injury or death.",https://www.vehiclerecalls.gov.au/recalls/rec-000589
REC-000590,25-Sep-20,Honda,ODYSSEY,2019 - 2020,36,"Due to incorrect manufacturing of the rear seatbelt assembly, the webbing sensor in the 3rd row left rear seat belt assembly may become inoperative. Due to incorrect manufacturing of the rear seatbelt assembly, the webbing sensor in the 3rd row left rear seat belt assembly may become inoperative. What are the hazards? If the vehicle sensor fails to engage during a crash, proper restraint may not be provided to a belted occupant, increasing the risk of an injury. Warning: the ACCC considers that the hazard posed to consumers from this safety defect includes the risk that, in the event of an accident, proper restraint may not be provided to a belted occupant, increasing the risk of serious injury or death.",https://www.vehiclerecalls.gov.au/recalls/rec-000590
REC-000601,8-May-20,HYUNDAI,"I30, ELANTRA",,"87,497","Due to a manufacturing error, an electronic control circuit board in the Anti-Lock Braking System (ABS) module will short circuit when the components are exposed to moisture. Due to a manufacturing error, an electronic control circuit board in the Anti-Lock Braking System (ABS) module will short circuit when the components are exposed to moisture. What are the hazards? There is a risk of an engine compartment fire, even when the vehicle is turned off, as the circuit is constantly powered. This could increase the risk of an accident, serious injury to vehicle occupants, other road users and bystanders, and damage to property. The short circuit does not affect the functioning of the brake system.",https://www.vehiclerecalls.gov.au/recalls/rec-000601
REC-000602,13-Sep-20,HYUNDAI,ELANTRA,,28,"The driver's airbag inflator may rupture in the event of airbag deployment. The driver's airbag inflator may rupture in the event of airbag deployment. What are the hazards? If the airbag inflator ruptures during airbag deployment, metal fragments may propel towards the vehicle occupants at high speeds. Additionally, the airbag may under-inflate in a collision and may not protect the driver as intended. This increases the risk of serious injury or death to the vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-000602
REC-000603,4-Feb-21,HYUNDAI,TUCSON,2014 - 2020,"93,572","Due to a manufacturing error, an electronic control circuit board in the Anti-Lock Braking System (ABS) module will short circuit when the components are exposed to moisture. Due to a manufacturing error, an electronic control circuit board in the Anti-Lock Braking System (ABS) module will short circuit when the components are exposed to moisture. What are the hazards? There is a risk of an engine compartment fire, even when the vehicle is turned off, as the circuit is constantly powered. This could increase the risk of an accident, serious injury or death to vehicle occupants, other road users and bystanders, and/or damage to property. The short circuit does not affect the functioning of the brake system.",https://www.vehiclerecalls.gov.au/recalls/rec-000603
REC-000604,18-Nov-20,HYUNDAI,KONA EV,2018 - 2020,796,"The Lithium-ion battery may have internal damage or the battery management system (BMS) control software may cause an electrical short circuit after charging. The Lithium-ion battery may have internal damage or the battery management system (BMS) control software may cause an electrical short circuit after charging. What are the hazards? If an electrical short circuit occurs, this could result in a vehicle fire which can increase the risk of serious injury or death to vehicle occupants, bystanders and/or damage to property.",https://www.vehiclerecalls.gov.au/recalls/rec-000604
REC-000605,28-Jan-21,HYUNDAI,"KONA EV, NEXO",2018 - 2020,"1,072",A software fault in the Integrated Electronic Brake (IEB) may significantly reduce braking performance. A software fault in the Integrated Electronic Brake (IEB) may significantly reduce braking performance. What are the hazards? The vehicle's stopping distance may be longer than usual. This increases the risk of an accident resulting in injuries or death to vehicle occupants and/or other road users.,https://www.vehiclerecalls.gov.au/recalls/rec-000605
REC-000632,9-Oct-19,HYUNDAI,IX35,2009 - 2012,"8,185",Oil may leak through the seal surrounding the engine oil sump. Prolonged oil leakage may result in engine damage and sudden stalling at high speed. Oil may leak through the seal surrounding the engine oil sump. Prolonged oil leakage may result in engine damage and sudden stalling at high speed. What are the hazards? If the engine suddenly stalls when the vehicle is at high speed this could increase the risk of an accident and injury to a vehicle occupant or other road users. In the event of a serious accident there is a risk of death.,https://www.vehiclerecalls.gov.au/recalls/rec-000632
REC-000633,2-Aug-19,HYUNDAI,VELOSTER,2012 - 2013,"5,171","The software installed on the engine management unit (ECU) may cause premature ignition, that can result in the engine stalling and with the possibility of a fire. The software installed on the engine management unit (ECU) may cause premature ignition, that can result in the engine stalling and with the possibility of a fire. What are the hazards? If the engine suddenly stalls when the vehicle is at high speed this could increase the risk of an accident and injury to a vehicle occupant or other road users. In the event of a serious accident there is a risk of death.",https://www.vehiclerecalls.gov.au/recalls/rec-000633
REC-000635,17-Dec-19,HYUNDAI,I30,2007 - 2012,"106,438","Due to improper programming of the Airbag Control Unit (ACU), there is a possibility that the driver, passenger airbags and seat belt pretensioners could inadvertently deploy without impact. Due to improper programming of the Airbag Control Unit (ACU), there is a possibility that the driver, passenger airbags and seat belt pretensioners could inadvertently deploy without impact. What are the hazards? If the airbag is deactivated or is inadvertently activated, this increases the risk of an accident and injury to the vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000635
REC-000636,8-May-20,HYUNDAI,SANTA FE,,"9,417","Due to a manufacturing error, an electronic control circuit board in the Anti-Lock Braking System (ABS) module will short circuit when the components are exposed to moisture. Due to a manufacturing error, an electronic control circuit board in the Anti-Lock Braking System (ABS) module will short circuit when the components are exposed to moisture. What are the hazards? There is a risk of an engine compartment fire, even when the vehicle is turned off, as the circuit is constantly powered. This could increase the risk of an accident, serious injury to vehicle occupants, other road users and bystanders, and damage to property. The short circuit does not affect the functioning of the brake system.",https://www.vehiclerecalls.gov.au/recalls/rec-000636
REC-000671,17-Mar-20,ISUZU,D-MAX CREW CAB,2018 - 2020,"12,359","The rear leaf spring may fracture due to an insufficient diameter of the front eye. The rear leaf spring may fracture due to an insufficient diameter of the front eye. What are the hazards? If one of the springs breaks, the driver may not have full control of the vehicle, increasing the risk of an accident and injury to the vehicle occupants and other road users.",https://www.vehiclerecalls.gov.au/recalls/rec-000671
REC-000672,20-Dec-20,ISUZU,D-MAX,2020 - 2021,"8,994","The rear seat seatbelt pretensioner locking tab may be defective and will not tension properly. The rear seat seatbelt pretensioner locking tab may be defective and will not tension properly. What are the hazards? If the pretensioner wiring harness connector incorrectly locks, this can prevent it from fully tensioning the seatbelt in the event of an accident. This could increase the risk of injury or, in the case of a serious accident, increase the risk of death to vehicle occupants.",https://www.vehiclerecalls.gov.au/recalls/rec-000672
REC-000738,23-Aug-18,JEEP,"WRANGLER, CHEROKEE, GRAND CHEROKEE & COMPASS",2016 - 2018,20,"If the powertain control module fails, the driver may experience a no-start, a start-and-immediate stall condition, or an engine stall while driving. If the powertain control module fails, the driver may experience a no-start, a start-and-immediate stall condition, or an engine stall while driving. What are the hazards? The engine may stall while driving and lose power. This could increase the risk of an accident and injury to a vehicle occupant or other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-000738
REC-000739,4-Feb-21,JEEP,GRAND CHEROKEE,2014 - 2021,"16,299",The fuel pump relay on some vehicles may be susceptible to silicon contamination on the relay contacts. This can cause the relay to fail. This fuel pump relay was installed as part of recall PRA 2015/14645 and recall PRA 2014/14432. The fuel pump relay on some vehicles may be susceptible to silicon contamination on the relay contacts. This can cause the relay to fail. This fuel pump relay was installed as part of recall PRA 2015/14645 and recall PRA 2014/14432. What are the hazards? A fuel pump relay failure can result in the engine stalling or a no-start condition. If the engine stalls while driving there is an increased risk of an accident resulting in injury or death to vehicle occupants and/or other road users.,https://www.vehiclerecalls.gov.au/recalls/rec-000739
REC-000741,12-Aug-19,JEEP,CHEROKEE,2014 - 2018,"2,623","Some vehicles may experience a stuck clutch, resulting in a transmission-commanded shift to neutral. Some vehicles may experience a stuck clutch, resulting in a transmission-commanded shift to neutral. What are the hazards? A switch to neutral may cause an unexpected loss of motive power. This could increase the risk of an accident and injury to a vehicle occupant or other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-000741
REC-000742,23-Jan-20,JEEP,WRANGLER,2017 - 2020,544,"The transmission harness may have insufficient clearance to the catalytic converter. The transmission harness may have insufficient clearance to the catalytic converter. What are the hazards? If the battery cable contacts the catalytic converter this could result in the following: 1. potentially causing a vehicle fire 2. disabling safety systems leading to an engine stall This could result in a crash without warning, increasing the risk of injury to vehicle occupants and other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-000742
REC-000743,23-Jan-20,JEEP,WRANGLER,2017 - 2020,833,"The transmission harness may have insufficient clearance to the catalytic converter. The transmission harness may have insufficient clearance to the catalytic converter. What are the hazards? If the battery cable contacts the catalytic converter this could result in the following: 1. potentially causing a vehicle fire 2. disabling safety systems leading to an engine stall This could result in a crash without warning, increasing the risk of injury to vehicle occupants and other road users. In the event of a serious accident this may result in death.",https://www.vehiclerecalls.gov.au/recalls/rec-000743
